RTH #,Opt RTH,TH,SH Freq,SH Freq Ra1k,Group
1,1,一,1.58%,2,1
2,2,二,0.14%,157,1
3,3,三,0.16%,125,1
4,22,四,0.10%,226,1
5,260,五,0.08%,279,1
6,75,六,0.04%,478,1
7,31,七,0.04%,530,1
8,19,八,0.05%,451,1
9,23,九,0.05%,445,1
10,4,十,0.18%,112,1
11,5,口,0.10%,212,1
12,6,日,0.19%,101,1
13,7,月,0.12%,169,1
14,601,田,0.02%,778,1
15,8,目,0.09%,239,1
16,307,古,0.04%,509,
17,602,胡,0.02%,806,
18,1704,吾,0.01%,1649,
19,603,朋,0.02%,882,1
20,9,明,0.16%,121,1
21,1200,唱,0.01%,1252,1
22,1498,晶,0.01%,1725,
23,308,品,0.07%,308,
24,1499,昌,0.01%,1606,
25,309,早,0.05%,462,1
26,2612,旭,0.00%,2846,
27,10,世,0.11%,181,
28,1797,胃,0.00%,1957,1
29,1201,旦,0.01%,1300,
30,2610,凹,0.00%,2862,
31,2611,凸,0.00%,2857,
32,11,自,0.32%,43,1
33,12,白,0.08%,286,1
34,13,百,0.05%,407,1
35,2798,皂,0.00%,3087,
36,14,中,0.57%,14,1
37,15,千,0.04%,599,1
38,1798,舌,0.00%,1958,
39,604,升,0.02%,837,
40,2956,昇,0.02%,837,
41,2361,丸,0.00%,2462,?
42,1799,卜,0.00%,1979,
43,605,占,0.03%,737,
44,16,上,0.55%,16,1
45,17,下,0.32%,42,1
46,606,卡,0.03%,717,
47,1800,卓,0.00%,1942,
48,310,朝,0.04%,593,
49,2085,嘲,0.00%,2325,
50,18,只,0.19%,97,
51,900,貝,0.01%,1133,1
52,1203,貼,0.01%,1454,1
53,2086,貞,0.00%,2366,
54,20,員,0.10%,200,1
55,21,見,0.14%,153,1
56,311,元,0.06%,370,
57,901,頁,0.01%,1128,
58,1803,頑,0.00%,2024,
59,902,凡,0.02%,1013,
60,1804,肌,0.00%,1935,
61,607,負,0.03%,691,
62,2362,勻,0.00%,2692,
63,608,句,0.03%,707,
64,2087,旬,0.00%,2332,
65,2797,勺,0.00%,3275,
66,24,的,4.10%,1,1
67,312,首,0.04%,481,
68,25,直,0.09%,255,1
69,609,置,0.03%,677,
70,313,具,0.06%,391,1
71,26,真,0.10%,204,1
72,27,工,0.16%,118,1
73,610,左,0.02%,782,1
74,611,右,0.02%,783,1
75,28,有,0.92%,8,1
76,2363,賄,0.00%,2569,
77,1500,貢,0.01%,1548,
78,314,項,0.04%,571,
79,903,刀,0.01%,1067,1
80,2364,刃,0.00%,2700,
81,315,切,0.07%,337,
82,1204,召,0.01%,1214,
83,2088,昭,0.00%,2190,
84,29,則,0.08%,284,
85,612,副,0.02%,764,
86,904,丁,0.01%,1168,
87,2365,叮,0.00%,2611,
88,30,可,0.37%,30,1
89,613,哥,0.02%,804,1
90,905,頂,0.02%,1000,
91,1807,乙,0.00%,1872,
92,32,子,0.33%,37,1
93,1205,孔,0.01%,1289,
94,2091,吼,0.00%,2151,
95,33,了,1.10%,5,1
96,34,女,0.10%,224,1
97,35,好,0.21%,82,1
98,36,如,0.23%,67,1
99,316,母,0.04%,565,1
100,1206,貫,0.01%,1478,
101,906,兄,0.01%,1089,
102,37,克,0.09%,262,
103,38,小,0.21%,83,1
104,39,少,0.09%,233,1
105,1809,吵,0.00%,2040,
106,40,大,0.55%,17,1
107,1207,尖,0.01%,1321,
108,1810,夕,0.00%,2003,
109,41,多,0.25%,61,1
110,317,夠,0.04%,538,1
111,42,外,0.15%,131,1
112,43,名,0.10%,203,1
113,1208,厚,0.01%,1235,
114,318,石,0.05%,414,1
115,2615,砂,0.00%,2713,
116,1209,妙,0.01%,1250,1
117,1811,肖,0.00%,2019,
118,1501,削,0.00%,1794,
119,44,光,0.08%,290,1
120,45,太,0.09%,240,1
121,614,省,0.03%,666,
122,319,奇,0.04%,563,1
123,909,川,0.01%,1109,
124,615,州,0.03%,721,
125,910,順,0.02%,938,
126,46,水,0.10%,202,1
127,616,永,0.02%,842,
128,320,求,0.07%,312,
