Opt RTH,RTH #,TH,H POS,RTH Keyword,RTH Read,TH Read,SH Freq Hanzi,SH Freq Meaning,SH Freq,SH Freq Rank,SH Opt Group,RTH Lesson,RTH Mod#,RTH Mod Lesson
1,1,一,,one,yī,yī,一,one/1/single/a(n),1.58%,2,1,RTH1-L01,1,RTH1-L01
2,2,二,,two,èr,èr,二,two/2,0.14%,157,1,RTH1-L01,2,RTH1-L01
3,3,三,,three,sān,sān,三,three/3,0.16%,125,1,RTH1-L01,3,RTH1-L01
4,10,十,,ten,shí,shí,十,ten/10,0.18%,112,1,RTH1-L01,10,RTH1-L01
5,11,口,,mouth,kǒu,kǒu,口,mouth/(a measure word),0.10%,212,1,RTH1-L01,11,RTH1-L01
6,12,日,,day,rì,rì,日,Japan/day/sun/date/day of the month,0.19%,101,1,RTH1-L01,12,RTH1-L01
7,13,月,,month,yuè,yuè,月,moon/month,0.12%,169,1,RTH1-L01,13,RTH1-L01
8,15,目,,eye,mù,mù,目,eye/item/section/list/catalogue/table of contents/order (taxonomy)/goal/name/title,0.09%,239,1,RTH1-L01,15,RTH1-L01
9,20,明,,bright,míng,míng,明,clear/bright/to understand/next/the Ming dynasty,0.16%,121,1,RTH1-L02,20,RTH1-L02
10,27,世,,generation,shì,shì,世,life/age/generation/era/world/lifetime,0.11%,181,1,RTH1-L02,27,RTH1-L02
11,32,自,,oneself,zì,zì,自,from/self/oneself/since,0.32%,43,1,RTH1-L03,32,RTH1-L03
12,33,白,,white,bái,bái|bó,白,white/snowy/empty/blank/bright/clear/plain/pure/gratuitous,0.08%,286,1,RTH1-L03,33,RTH1-L03
13,34,百,,hundred,bǎi,bǎi,百,hundred,0.05%,407,1,RTH1-L03,34,RTH1-L03
14,36,中,n./adj.,middle,zhōng,zhōng|zhòng,中,"within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)",0.57%,14,1,RTH1-L03,36,RTH1-L03
15,37,千,,thousand,qiān,qiān,千,"thousand, a swing",0.04%,599,1,RTH1-L03,37,RTH1-L03
16,44,上,,above,shàng,shàng|shang|shǎng,上,"on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up",0.55%,16,1,RTH1-L03,44,RTH1-L03
17,45,下,,below,xià,xià,下,"under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter",0.32%,42,1,RTH1-L03,45,RTH1-L03
18,50,只,,only,zhǐ,zhǐ|zhī,只,"earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only",0.19%,97,1,RTH1-L04,50,RTH1-L04
19,8,八,,eight,bā,bā,八,eight/8,0.05%,451,1,RTH1-L01,53.8,RTH1-L04
20,54,員,,employee,yuán,yuán,员,person/employee/member,0.10%,200,1,RTH1-L04,54,RTH1-L04
21,55,見,,see,jiàn,jiàn|xiàn,见,"to see/to meet/to appear (to be sth)/to interview, appear",0.14%,153,1,RTH1-L04,55,RTH1-L04
22,4,四,,four,sì,sì,四,four/4,0.10%,226,1,RTH1-L01,55.4,RTH1-L04
23,9,九,,nine,jiǔ,jiǔ,九,nine/9,0.05%,445,1,RTH1-L01,58.9,RTH1-L04
24,66,的,,bull's eye,de,de,的,"(possessive particle)/of, really and truly, aim/clear",4.10%,1,1,RTH1-L04,66,RTH1-L04
25,68,直,,straight,zhí,zhí,直,straight/vertical/frank/directly/straightly/upright,0.09%,255,1,RTH1-L05,68,RTH1-L05
26,71,真,,is true,zhēn,zhēn,真,real/true/genuine,0.10%,204,1,RTH1-L05,71,RTH1-L05
27,72,工,n.,work,gōng,gōng,工,work/worker/skill/profession/trade/craft/labor,0.16%,118,1,RTH1-L05,72,RTH1-L05
28,75,有,,possess,yǒu,yǒu,有,to have/there is/there are/to exist/to be,0.92%,8,1,RTH1-L05,75,RTH1-L05
29,84,則,n.,rule,zé,zé,则,(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle,0.08%,284,1,RTH1-L05,84,RTH1-L05
30,88,可,aux. v.,can,kě,kě|kè,可,can/may/able to/certain(ly)/to suit/(particle used for emphasis),0.37%,30,1,RTH1-L05,88,RTH1-L05
31,7,七,,seven,qī,qī,七,seven/7,0.04%,530,1,RTH1-L01,91.7,RTH1-L06
32,92,子,,child,zǐ,zǐ|zi,子,"11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)",0.33%,37,1,RTH1-L06,92,RTH1-L06
33,95,了,,(-ed),le,le|liǎo|liào|liāo|liáo,了,"(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place",1.10%,5,1,RTH1-L06,95,RTH1-L06
34,96,女,,woman,nǚ,nǚ,女,female/woman,0.10%,224,1,RTH1-L06,96,RTH1-L06
35,97,好,,good,hǎo,hǎo|hào|hāo,好,"good/well, be fond of",0.21%,82,1,RTH1-L06,97,RTH1-L06
36,98,如,,be like,rú,rú,如,as (if)/such as,0.23%,67,1,RTH1-L06,98,RTH1-L06
37,102,克,v.,overcome,kè,kè|kēi,克,"gram/subdue/to restrain/to overcome, subdue",0.09%,262,1,RTH1-L06,102,RTH1-L06
38,103,小,,small,xiǎo,xiǎo,小,small/tiny/few/young,0.21%,83,1,RTH1-L07,103,RTH1-L07
39,104,少,,few,shǎo,shǎo|shào,少,"few/little/lack, young",0.09%,233,1,RTH1-L07,104,RTH1-L07
40,106,大,,large,dà,dà|dài,大,"big/huge/large/major/great/wide/deep/oldest/eldest, doctor",0.55%,17,1,RTH1-L07,106,RTH1-L07
41,109,多,,many,duō,duō,多,many/much/a lot of/numerous/multi-,0.25%,61,1,RTH1-L07,109,RTH1-L07
42,111,外,,outside,wài,wài,外,outside/in addition/foreign/external,0.15%,131,1,RTH1-L07,111,RTH1-L07
43,112,名,n.,name,míng,míng,名,name/(measure word for persons)/place (e.g. among winners),0.10%,203,1,RTH1-L07,112,RTH1-L07
44,119,光,,ray,guāng,guāng,光,light/ray/bright,0.08%,290,1,RTH1-L07,119,RTH1-L07
45,120,太,,overly,tài,tài,太,highest/greatest/too (much)/very/extremely,0.09%,240,1,RTH1-L07,120,RTH1-L07
46,126,水,n.,water,shuǐ,shuǐ,水,water/river,0.10%,202,1,RTH1-L08,126,RTH1-L08
47,130,原,,flatlands,yuán,yuán,原,former/original/primary/raw/level/cause/source,0.11%,193,1,RTH1-L08,130,RTH1-L08
48,141,活,,lively,huó,huó,活,to live/alive/living/work/workmanship,0.10%,219,1,RTH1-L08,141,RTH1-L08
49,156,時,n.,time,shí,shí,时,o'clock/time/when/hour/season/period,0.43%,25,1,RTH1-L08,156,RTH1-L08
50,169,里,,li,lǐ,lǐ|li,里,"inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown",0.28%,50,1,RTH1-L09,169,RTH1-L09
51,170,量,,quantity,liàng,liàng|liáng,量,"to measure, capacity/quantity/amount/to estimate",0.09%,241,1,RTH1-L09,170,RTH1-L09
52,173,點,n.,spot,diǎn,diǎn,点,(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point),0.16%,128,1,RTH1-L09,173,RTH1-L09
53,176,同,,same,tóng,tóng|tòng,同,like/same/similar/together/alike/with,0.23%,69,1,RTH1-L09,176,RTH1-L09
54,178,向,,orientation,xiàng,xiàng,向,"direction/part/side/towards/to/guide/opposite to, guide/opposite to",0.14%,146,1,RTH1-L09,178,RTH1-L09
55,183,實,,reality,shí,shí|shī,实,real/true/honest/really/solid,0.19%,100,1,RTH1-L09,183,RTH1-L09
56,186,安,,peaceful,ān,ān,安,content/calm/still/quiet/to pacify/peace,0.09%,232,1,RTH1-L09,186,RTH1-L09
57,199,相,,one another,xiāng,xiāng|xiàng,相,"each other/one another/mutually, appearance/portrait/picture",0.14%,152,1,RTH1-L10,199,RTH1-L10
58,200,本,,notebook,běn,běn,本,roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word),0.20%,92,1,RTH1-L10,200,RTH1-L10
59,228,然,,sort of thing,rán,rán,然,correct/right/so/thus/like this/-ly,0.26%,55,1,RTH1-L11,228,RTH1-L11
60,236,特,adj.,special,tè,tè,特,"special/unusual/extraordinary, male animal/special (-ly)",0.12%,173,1,RTH1-L11,236,RTH1-L11
61,239,先,,before,xiān,xiān,先,early/prior/former/in advance/first,0.11%,188,1,RTH1-L11,239,RTH1-L11
62,242,界,,world,jiè,jiè|gā|gà,界,boundary/scope/extent/circles/group/kingdom (taxonomy),0.08%,288,1,RTH1-L12,242,RTH1-L12
63,244,會,,meeting,huì,huì|huǐ|kuài,会,"can/be possible/be able to/to assemble/to meet/to gather/to see/union/group/association, to balance an account/accounting",0.38%,29,1,RTH1-L12,244,RTH1-L12
64,245,合,v.,fit,hé,hé|gě,合,"one-tenth of a peck, Chinese musical note/fit/to join",0.12%,171,1,RTH1-L12,245,RTH1-L12
65,248,王,,king,wáng,wáng|wàng,王,king/Wang (proper name),0.07%,299,1,RTH1-L12,248,RTH1-L12
66,251,現,adj.,present,xiàn,xiàn,现,appear/present/now/existing/current,0.22%,70,1,RTH1-L12,251,RTH1-L12
67,257,全,,whole,quán,quán,全,all/whole/entire/every/complete,0.16%,124,1,RTH1-L12,257,RTH1-L12
68,258,理,,logic,lǐ,lǐ,理,reason/logic/science/inner principle or structure,0.21%,89,1,RTH1-L12,258,RTH1-L12
69,259,主,,lord,zhǔ,zhǔ,主,to own/to host/master/lord/primary,0.21%,87,1,RTH1-L12,259,RTH1-L12
